iter	Passed	Remaining
398	63568	95750
399	63688	95532
400	63813	95322
401	63937	95111
402	64092	94945
403	64230	94756
404	64363	94558
405	64489	94351
406	64627	94161
407	64748	93949
408	64881	93752
409	65007	93547
410	65146	93360
411	65275	93160
412	65423	92986
413	65554	92789
414	65697	92609
415	65830	92416
416	65967	92228
417	66101	92036
418	66246	91859
419	66397	91691
420	66529	91497
421	66669	91315
422	66803	91124
423	66931	90925
424	67049	90713
425	67175	90513
426	67328	90348
427	67469	90169
428	67599	89975
429	67763	89825
430	67892	89630
431	68020	89434
432	68154	89245
433	68290	89061
434	68443	88897
435	68566	88696
436	68688	88493
437	68830	88317
438	68961	88125
439	69080	87920
440	69203	87720
441	69339	87537
442	69484	87364
443	69607	87166
444	69738	86976
445	69879	86800
446	70007	86608
447	70141	86424
448	70269	86232
449	70427	86078
450	70553	85884
451	70679	85690
452	70816	85511
453	70967	85348
454	71104	85169
455	71239	84987
456	71373	84805
457	71520	84637
458	71654	84455
459	71772	84254
460	71904	84070
461	72045	83896
462	72180	83717
463	72307	83528
464	72448	83354
465	72587	83179
466	72728	83006
467	72852	82815
468	72982	82630
469	73130	82466
470	73259	82281
471	73384	82091
472	73524	81918
473	73677	81759
474	73812	81581
475	73942	81398
476	74082	81226
477	74221	81053
478	74355	80874
479	74503	80712
480	74636	80533
481	74773	80357
482	74894	80166
483	75032	79993
484	75165	79815
485	75297	79635
486	75436	79464
487	75585	79302
488	75718	79125
489	75845	78941
490	75977	78762
491	76122	78597
492	76292	78459
493	76455	78313
494	76595	78143
495	76726	77963
496	76868	77796
497	77003	77622
498	77139	77448
499	77266	77266
500	77403	77094
501	77541	76924
502	77675	76748
503	77807	76572
504	77953	76409
505	78087	76236
506	78234	76074
507	78378	75909
508	78507	75731
509	78651	75567
510	78779	75387
511	78912	75213
512	79033	75027
513	79160	74848
514	79283	74664
515	79432	74506
516	79571	74338
517	79703	74164
518	79831	73986
519	79984	73831
520	80109	73651
521	80240	73477
522	80373	73304
523	80519	73143
524	80669	72987
525	80799	72811
526	80925	72633
527	81061	72464
528	81200	72297
529	81336	72128
530	81468	71955
531	81614	71796
532	81747	71625
533	81888	71460
534	82051	71315
535	82201	71159
536	82347	70999
537	82490	70837
538	82652	70691
539	82781	70517
540	82916	70348
541	83049	70178
542	83202	70024
543	83332	69852
544	83471	69687
545	83609	69521
546	83765	69370
547	83899	69201
548	84027	69027
549	84167	68864
550	84314	68706
551	84437	68529
552	84570	68359
553	84713	68199
554	84839	68024
555	84964	67849
556	85085	67671
557	85227	67510
558	85363	67344
559	85499	67178
560	85626	67005
561	85765	66842
562	85906	66680
563	86026	66503
564	86160	66336
565	86301	66174
566	86435	66008
567	86558	65833
568	86688	65663
569	86839	65510
570	86975	65346
571	87111	65181
572	87238	65009
573	87373	64845
574	87507	64679
575	87634	64509
576	87793	64361
577	87951	64213
578	88109	64065
579	88232	63892
580	88390	63744
581	88525	63580
582	88656	63413
583	88787	63245
584	88932	63088
585	89063	62921
586	89200	62759
587	89320	62585
588	89450	62417
589	89584	62253
590	89708	62082
591	89860	61931
592	90000	61771
593	90133	61606
594	90262	61439
595	90393	61273
596	90525	61108
597	90667	60950
598	90798	60784
599	90994	60663
600	91139	60506
601	91268	60340
602	91423	60190
603	91593	60051
604	91718	59882
605	91850	59717
606	91998	59564
607	92124	59396
608	92272	59242
609	92435	59098
610	92584	58945
611	92729	58789
612	92876	58634
613	93043	58493
614	93182	58333
615	93322	58174
616	93447	58007
617	93584	57846
618	93758	57709
619	93911	57558
620	94066	57409
621	94212	57254
622	94371	57107
623	94516	56952
624	94666	56800
625	94819	56649
626	94976	56501
627	95132	56352
628	95298	56209
629	95463	56065
630	95595	55902
631	95747	55751
632	95913	55608
633	96068	55458
634	96210	55301
635	96350	55144
636	96514	54999
637	96662	54846
638	96813	54694
639	96997	54560
640	97148	54409
641	97274	54243
642	97407	54081
643	97561	53931
644	97701	53773
645	97854	53623
646	98007	53472
647	98158	53320
648	98284	53155
649	98411	52990
650	98548	52831
651	98671	52664
652	98812	52508
653	98957	52353
654	99105	52200
655	99241	52041
656	99365	51875
657	99519	51725
658	99652	51565
659	99796	51410
660	99939	51254
661	100092	51104
662	100236	50949
663	100361	50785
664	100513	50634
665	100673	50487
666	100815	50331
667	100962	50178
668	101115	50028
669	101278	49883
670	101427	49731
671	101587	49584
672	101747	49437
673	101884	49279
674	102020	49120
675	102161	48964
676	102310	48813
677	102444	48653
678	102576	48493
679	102726	48341
680	102850	48177
681	102986	48020
682	103117	47859
683	103278	47713
684	103407	47552
685	103534	47390
686	103653	47224
687	103792	47068
688	103924	46909
689	104053	46748
690	104185	46589
691	104348	46444
692	104474	46282
693	104603	46122
694	104734	45962
695	104874	45807
696	104995	45643
697	105123	45483
698	105256	45325
699	105403	45173
700	105538	45015
701	105667	44856
702	105790	44693
703	105939	44542
704	106079	44387
705	106216	44231
706	106372	44083
707	106532	43937
708	106674	43783
709	106810	43626
710	106939	43467
711	107079	43312
712	107203	43151
713	107350	43000
714	107508	42852
715	107638	42694
716	107771	42537
717	107899	42378
718	108048	42227
719	108185	42071
720	108331	41920
721	108466	41764
722	108610	41611
723	108737	41452
724	108862	41292
725	108988	41133
726	109124	40978
727	109246	40817
728	109393	40666
729	109519	40507
730	109663	40355
731	109793	40197
732	109927	40041
733	110059	39885
734	110195	39730
735	110331	39575
736	110493	39429
737	110622	39272
738	110759	39118
739	110892	38962
740	111018	38804
741	111163	38652
742	111316	38503
743	111460	38352
744	111599	38198
745	111743	38046
746	111872	37889
747	112008	37735
748	112144	37581
749	112299	37433
750	112467	37289
751	112657	37152
752	112803	37001
753	112944	36849
754	113093	36699
755	113239	36548
756	113397	36401
757	113553	36253
758	113683	36097
759	113822	35943
760	113960	35790
761	114094	35635
762	114224	35479
763	114369	35328
764	115085	35353
765	115249	35206
766	115408	35058
767	115558	34908
768	115686	34751
769	115825	34597
770	115989	34450
771	116137	34299
772	116272	34144
773	116412	33991
774	116556	33838
775	116684	33682
776	116809	33524
777	116937	33367
778	117081	33215
779	117225	33063
780	117361	32909
781	117485	32751
782	117622	32597
783	117754	32442
784	117885	32287
785	118015	32131
786	118187	31987
787	118322	31832
788	118460	31679
789	118592	31524
790	118725	31369
791	118849	31213
792	118985	31059
793	119126	30906
794	119284	30758
795	119410	30602
796	119530	30445
797	119666	30291
798	119812	30140
799	119936	29984
800	120069	29829
801	120210	29677
802	120371	29530
803	120495	29374
804	120627	29220
805	120760	29066
806	120888	28911
807	121023	28758
808	121156	28604
809	121311	28455
810	121442	28301
811	121578	28148
812	121742	28002
813	121883	27850
814	122010	27695
815	122133	27539
816	122277	27388
817	122433	27240
818	122560	27086
819	122685	26930
820	122848	26784
821	123006	26636
822	123138	26483
823	123345	26345
824	123487	26194
825	123623	26041
826	123769	25891
827	123928	25743
828	124084	25595
829	124229	25444
830	124374	25293
831	124532	25145
832	124658	24991
833	124785	24837
834	124931	24686
835	125062	24533
836	125190	24380
837	125318	24226
838	125475	24078
839	125599	23923
840	125725	23769
841	125868	23618
842	126017	23469
843	126145	23315
844	126274	23162
845	126415	23011
846	126575	22864
847	126705	22711
848	126834	22558
849	126977	22407
850	127130	22259
851	127265	22107
852	127433	21961
853	127616	21817
854	127769	21668
855	127926	21520
856	128088	21372
857	128236	21223
858	128386	21073
859	128527	20923
860	128716	20779
861	128866	20630
862	129006	20479
863	129179	20333
864	129331	20184
865	129485	20035
866	129676	19892
867	129840	19745
868	129993	19596
869	130136	19445
870	130292	19297
871	130442	19147
872	130579	18996
873	130737	18847
874	130872	18696
875	131003	18543
876	131129	18391
877	131260	18238
878	131397	18087
879	131526	17935
880	131683	17786
881	131826	17636
882	131972	17486
883	132111	17335
884	132247	17184
885	132410	17036
886	132599	16892
887	132767	16745
888	132920	16596
889	133053	16444
890	133189	16293
891	133328	16142
892	133476	15993
893	133602	15841
894	133749	15691
895	133872	15538
896	134015	15388
897	134146	15237
898	134271	15085
899	134408	14934
900	134547	14783
901	134680	14632
902	134847	14485
903	134994	14335
904	135118	14183
905	135242	14031
906	135385	13881
907	135521	13731
908	135657	13580
909	135808	13431
910	135931	13279
911	136081	13130
912	136211	12979
913	136339	12828
914	136468	12677
915	136595	12526
916	136741	12376
917	136903	12228
918	137035	12078
919	137178	11928
920	137308	11777
