iter	MultiClass
187	0.8130909425
188	0.813087838
189	0.8130869329
190	0.8130864928
191	0.8130855062
192	0.8130839303
193	0.8130824182
194	0.8130804241
195	0.8130797408
196	0.8130783897
197	0.8130774696
198	0.8130757396
199	0.8130739818
200	0.8130725599
201	0.8130714706
202	0.8130688969
203	0.8130678683
204	0.8130665265
205	0.8130654728
206	0.8130620187
207	0.8130608769
208	0.8130595669
209	0.8130566693
210	0.8130562373
211	0.8130550184
212	0.8130535077
213	0.8130527492
214	0.8130511449
215	0.8130503501
216	0.813048596
217	0.813047503
218	0.8130470172
219	0.8130455903
220	0.8130448372
221	0.8130417983
222	0.8130410236
223	0.8130403636
224	0.8130394705
225	0.813037979
226	0.8130371424
227	0.8130363343
228	0.8130352343
229	0.8130349611
230	0.8130346918
231	0.8130338241
232	0.813032257
233	0.8130314481
234	0.81303074
235	0.8130301798
236	0.813029063
237	0.8130281634
238	0.8130276921
239	0.8130267474
240	0.8130251304
241	0.813024203
242	0.8130234926
243	0.8130217949
244	0.8130210282
245	0.8130207184
246	0.8130193953
247	0.8130186762
248	0.8130180593
249	0.8130167413
250	0.8130152298
251	0.813014527
252	0.8130136965
253	0.8130130483
254	0.8130122631
255	0.8130112849
256	0.8130094059
257	0.8130076203
258	0.8130061911
259	0.8130054831
260	0.8130041082
261	0.8130028688
262	0.8130017751
263	0.8130010141
264	0.8130003471
265	0.8129995811
266	0.8129987001
267	0.8129980961
268	0.8129970141
269	0.8129951846
270	0.8129948277
271	0.8129941986
272	0.8129936698
273	0.812992161
274	0.8129913167
275	0.8129905411
276	0.8129891314
277	0.8129883499
278	0.8129867052
279	0.812985079
280	0.8129848585
281	0.8129840366
282	0.8129830777
283	0.8129824611
284	0.8129819068
285	0.8129807487
286	0.8129803212
287	0.8129793178
288	0.8129790391
289	0.8129777536
290	0.8129776414
291	0.8129769389
292	0.8129764288
293	0.8129749973
294	0.8129734671
295	0.8129727337
296	0.8129709104
297	0.8129703886
298	0.8129693206
299	0.8129687395
300	0.8129679954
301	0.8129677703
302	0.8129672719
303	0.8129658049
304	0.8129652911
305	0.8129645636
306	0.8129637998
307	0.8129636584
308	0.8129633489
309	0.8129624341
310	0.8129618715
311	0.8129615597
312	0.812960777
313	0.8129600049
314	0.8129595094
315	0.8129588214
316	0.8129582166
317	0.8129570641
318	0.8129568865
319	0.812955721
320	0.8129554273
321	0.8129548477
322	0.812954428
323	0.8129537442
324	0.8129524867
325	0.8129512247
326	0.8129507978
327	0.8129500758
328	0.8129498336
329	0.8129496392
330	0.8129487121
331	0.8129475163
332	0.8129472937
333	0.8129465824
334	0.8129453545
335	0.8129444702
336	0.8129441491
337	0.8129434802
338	0.8129426307
339	0.8129423725
340	0.8129419341
341	0.8129412774
342	0.8129401802
343	0.812940032
344	0.8129395272
345	0.8129392094
346	0.8129385795
347	0.8129379347
348	0.8129374504
349	0.8129367986
350	0.8129357369
351	0.8129349646
352	0.8129347252
353	0.8129345442
354	0.8129333879
355	0.8129331065
356	0.8129326169
357	0.8129324378
358	0.8129314709
359	0.8129309252
360	0.8129307827
361	0.8129304413
362	0.8129302785
363	0.8129288859
364	0.8129284203
365	0.8129277032
366	0.8129263886
367	0.8129257997
368	0.8129253858
369	0.8129249871
370	0.8129247384
371	0.8129241518
372	0.81292342
373	0.8129228791
374	0.8129222111
375	0.8129219007
376	0.812921457
377	0.8129211765
378	0.8129209075
379	0.8129205057
380	0.8129203046
381	0.8129196506
382	0.8129189235
383	0.8129187713
384	0.8129185342
385	0.812916768
386	0.8129164764
387	0.8129163504
388	0.8129159509
389	0.8129158719
390	0.8129148748
391	0.8129142099
392	0.8129133216
393	0.81291326
394	0.8129111002
395	0.8129106989
396	0.8129098694
397	0.8129093445
398	0.812908545
399	0.8129082025
400	0.8129071187
401	0.8129067224
402	0.8129063116
403	0.8129058174
404	0.8129056318
405	0.8129047714
406	0.8129042567
407	0.8129041909
408	0.8129037644
409	0.812903676
410	0.8129030785
411	0.8129023811
412	0.8129016842
413	0.8129015926
414	0.8129006174
415	0.8128998523
416	0.812899412
417	0.812899321
418	0.8128991508
419	0.8128982691
420	0.812897806
421	0.8128970604
422	0.8128968938
423	0.8128965063
424	0.8128962766
425	0.8128959783
426	0.8128949646
427	0.8128937463
428	0.8128932988
429	0.8128925514
430	0.8128923498
431	0.8128918854
432	0.8128914276
433	0.8128910614
434	0.812890701
435	0.8128903922
436	0.8128900276
437	0.8128897776
438	0.8128885756
439	0.8128879672
440	0.8128878273
441	0.8128874935
442	0.8128872353
443	0.8128870244
444	0.8128847355
445	0.8128846206
446	0.8128843667
447	0.8128840678
448	0.812883927
449	0.8128837395
450	0.8128832588
451	0.8128828307
452	0.8128826026
453	0.812882356
454	0.8128820613
455	0.8128818984
456	0.8128813613
457	0.8128812651
458	0.8128809799
459	0.812880791
460	0.8128803893
461	0.8128799916
462	0.8128796318
463	0.8128792937
464	0.8128791734
465	0.8128787935
466	0.8128781024
467	0.8128780063
468	0.8128778325
469	0.8128773963
470	0.81287714
471	0.8128769748
472	0.8128762608
473	0.8128758641
474	0.8128755661
475	0.8128750442
476	0.8128745532
477	0.8128744191
478	0.8128741663
479	0.8128739212
480	0.8128735838
481	0.8128729269
482	0.8128728159
483	0.8128726458
484	0.8128722494
485	0.8128721403
486	0.8128714083
487	0.812870808
488	0.8128707091
489	0.8128704816
490	0.812869904
491	0.81286978
492	0.8128692943
493	0.8128687374
494	0.8128683277
495	0.8128680565
496	0.8128675315
497	0.8128670697
498	0.8128653633
499	0.8128648868
500	0.8128647087
501	0.8128644084
502	0.8128642389
503	0.8128639154
504	0.8128634333
505	0.8128630794
506	0.8128627543
507	0.8128625987
508	0.8128622863
509	0.8128619576
510	0.8128616956
511	0.8128612506
512	0.8128610626
513	0.8128609834
514	0.8128608191
515	0.8128606149
516	0.8128603556
517	0.8128601669
518	0.8128600455
519	0.8128590533
520	0.8128589963
521	0.8128587947
522	0.8128584476
523	0.8128580322
524	0.8128577484
525	0.8128574703
526	0.8128572934
527	0.8128571258
528	0.8128571082
529	0.8128567105
530	0.8128564829
531	0.8128563517
532	0.8128560978
533	0.812855778
534	0.8128555954
535	0.8128539889
536	0.81285351
537	0.812853244
538	0.812853039
539	0.8128529189
540	0.8128528886
541	0.81285282
542	0.8128524682
543	0.8128524324
544	0.8128523053
545	0.8128520448
546	0.8128517025
547	0.81285142
548	0.8128509345
549	0.8128508969
550	0.8128505068
551	0.8128504232
552	0.8128501583
553	0.8128500585
554	0.8128500227
555	0.8128498086
556	0.8128496272
557	0.8128494228
558	0.8128492125
559	0.8128490217
560	0.8128486559
561	0.8128484365
562	0.812848345
563	0.8128483286
564	0.8128483008
565	0.8128480929
566	0.8128480583
567	0.8128479108
568	0.8128473089
569	0.8128472295
570	0.8128471433
571	0.8128467055
572	0.812846618
573	0.8128464976
574	0.8128464755
575	0.8128456656
576	0.8128455969
577	0.8128454068
578	0.8128452051
579	0.8128449992
580	0.8128446296
581	0.812844539
582	0.8128444596
583	0.8128442268
584	0.8128437517
585	0.8128436873
586	0.8128434238
587	0.8128433646
588	0.8128431064
589	0.8128429173
590	0.8128427843
591	0.8128423082
592	0.8128420689
593	0.8128416637
594	0.8128413187
595	0.8128411443
596	0.8128409956
597	0.8128408411
598	0.8128408297
599	0.8128406464
600	0.8128406232
601	0.8128402071
602	0.8128400777
603	0.8128396483
604	0.8128393432
605	0.8128392483
606	0.8128389754
607	0.8128388609
608	0.8128386287
609	0.8128383291
610	0.8128382441
611	0.8128381637
612	0.8128379365
613	0.8128375652
614	0.8128372851
615	0.812836855
616	0.8128366645
617	0.8128366231
618	0.8128362861
619	0.8128360221
620	0.812835314
621	0.8128351518
622	0.8128348891
623	0.8128345923
624	0.8128342809
625	0.8128341749
626	0.8128337759
627	0.8128336999
628	0.8128334105
629	0.8128327848
630	0.8128327402
631	0.8128325082
632	0.812832211
633	0.81283214
634	0.8128320977
635	0.8128318333
636	0.812831482
637	0.8128314244
638	0.8128311497
639	0.8128307448
640	0.8128305514
641	0.8128303846
642	0.8128302797
643	0.8128300085
644	0.8128298994
645	0.8128297398
646	0.81282965
647	0.8128292362
648	0.8128291541
649	0.8128290028
650	0.8128289358
651	0.8128289083
652	0.8128284508
653	0.8128279275
654	0.8128278638
655	0.8128276258
656	0.8128275392
657	0.812827269
658	0.8128271012
659	0.8128267039
660	0.8128266419
661	0.8128264057
662	0.812824412
663	0.8128243264
664	0.8128241952
665	0.8128241062
666	0.8128239017
667	0.8128238078
668	0.8128233626
669	0.8128230181
670	0.8128227534
671	0.8128224075
672	0.8128219401
673	0.8128217179
674	0.8128216642
675	0.8128216368
676	0.812821193
677	0.8128211728
678	0.8128210821
679	0.8128209139
680	0.8128208064
681	0.812820744
682	0.8128206646
683	0.812820457
684	0.8128202569
685	0.8128202142
686	0.8128200291
687	0.8128199041
688	0.8128197887
689	0.812819721
690	0.8128189035
691	0.8128188156
692	0.8128187965
693	0.8128185706
694	0.8128185333
695	0.8128181799
696	0.8128181492
697	0.8128178092
698	0.8128176603
699	0.8128170094
700	0.8128166646
701	0.8128166238
702	0.8128165145
703	0.8128163404
704	0.8128156041
705	0.8128155232
706	0.8128154551
707	0.8128153353
708	0.8128151171
709	0.8128150671
710	0.8128149252
711	0.8128146139
712	0.81281449
713	0.8128144422
714	0.8128142695
715	0.8128140562
716	0.812813818
717	0.8128136098
718	0.8128134549
719	0.8128131748
720	0.812812647
721	0.8128123409
722	0.8128121123
723	0.8128120531
724	0.8128120267
725	0.8128119622
726	0.8128118368
727	0.8128117875
728	0.8128114364
729	0.8128110074
730	0.8128109451
731	0.8128108001
732	0.8128107552
733	0.812810721
734	0.8128105792
735	0.8128104364
736	0.8128100266
737	0.8128098421
738	0.8128097262
739	0.8128095661
740	0.8128081513
741	0.8128080737
742	0.8128080056
743	0.8128079486
744	0.8128077702
745	0.8128070516
746	0.812806651
747	0.8128064249
748	0.8128063071
749	0.8128061174
750	0.8128060397
751	0.8128060109
752	0.812805997
753	0.8128058717
754	0.8128057503
755	0.8128056795
756	0.8128055647
757	0.812805424
758	0.812805248
759	0.8128050986
760	0.8128049862
761	0.8128048515
762	0.8128047281
763	0.8128047079
764	0.812804665
765	0.8128045322
766	0.8128044433
767	0.8128042263
768	0.8128039832
769	0.8128039107
770	0.8128035097
771	0.8128034335
772	0.8128033496
773	0.8128031581
774	0.8128030789
775	0.8128030024
776	0.8128029657
777	0.8128026797
778	0.8128026179
779	0.8128025649
780	0.8128023415
781	0.8128023344
782	0.8128022011
783	0.8128021087
784	0.8128019975
785	0.812801665
786	0.8128016075
787	0.8128015512
788	0.8128013504
789	0.8128011577
790	0.8128008962
791	0.8128008025
792	0.8128004238
793	0.8128003788
794	0.8128001287
795	0.8127999642
796	0.8127997801
797	0.8127997488
798	0.8127994763
799	0.8127993732
800	0.8127992102
801	0.8127990893
802	0.8127990615
803	0.8127990065
804	0.8127989008
805	0.8127988576
806	0.8127988401
807	0.8127986848
808	0.8127986198
809	0.8127984861
810	0.8127983291
811	0.8127982541
812	0.8127981325
813	0.8127979835
814	0.8127979154
815	0.812797846
816	0.8127978108
817	0.8127975927
818	0.8127972748
819	0.8127972258
820	0.8127971882
821	0.8127971446
822	0.8127971072
823	0.8127965104
824	0.8127964434
825	0.8127963895
826	0.8127962488
827	0.8127962334
828	0.8127961244
829	0.8127960548
830	0.8127960148
831	0.8127959599
832	0.8127957277
833	0.812795523
834	0.8127953924
835	0.8127953649
836	0.8127953144
837	0.8127952831
838	0.8127952205
839	0.812795214
840	0.8127951851
841	0.8127951066
842	0.8127950184
843	0.8127946581
844	0.8127941146
845	0.812794041
846	0.8127940279
847	0.8127939725
848	0.8127938534
849	0.8127938265
850	0.8127937464
851	0.8127935935
852	0.8127926869
853	0.812792657
854	0.8127924628
855	0.8127923516
856	0.8127920469
857	0.812791819
858	0.812791552
859	0.8127915113
860	0.8127913623
861	0.812791222
862	0.812791178
863	0.8127909369
864	0.8127908744
865	0.8127906791
866	0.8127905264
867	0.812790452
868	0.8127904015
869	0.8127902006
870	0.8127901912
871	0.8127897685
872	0.8127897023
873	0.8127896606
874	0.8127894535
875	0.8127893739
876	0.8127892942
877	0.8127892375
878	0.8127891309
879	0.8127890226
880	0.8127887669
881	0.8127886657
882	0.8127886277
883	0.8127885993
884	0.8127885833
885	0.8127883971
886	0.8127883107
887	0.8127875381
888	0.8127873631
889	0.8127873375
890	0.8127871832
891	0.8127870034
892	0.8127869558
893	0.8127869494
894	0.8127868043
895	0.8127866839
896	0.812786601
897	0.8127863918
898	0.8127863762
899	0.8127861717
900	0.8127860196
901	0.8127857948
902	0.8127856157
903	0.8127855392
904	0.8127854364
905	0.8127853156
906	0.8127852107
907	0.8127851536
908	0.8127850945
909	0.8127850556
910	0.8127849976
911	0.8127847697
912	0.8127847192
913	0.8127847091
914	0.8127846145
915	0.8127845815
916	0.8127845282
917	0.8127843629
918	0.8127842388
919	0.8127840812
920	0.8127839598
921	0.8127839245
922	0.8127838088
923	0.8127837361
924	0.812782817
925	0.8127827702
926	0.812782602
927	0.8127825551
928	0.8127825323
929	0.8127824033
930	0.8127823861
931	0.8127823609
932	0.8127823354
933	0.8127821419
934	0.8127818964
935	0.8127818683
936	0.812781551
937	0.8127815158
938	0.8127814898
939	0.8127810569
940	0.8127810203
941	0.8127804938
942	0.8127803381
943	0.8127803152
944	0.8127802673
945	0.812779646
946	0.8127796297
947	0.8127796217
948	0.8127795704
949	0.8127793575
950	0.8127793448
951	0.8127793197
952	0.8127793109
953	0.8127792658
954	0.8127792051
955	0.8127791707
956	0.8127790444
957	0.8127789429
958	0.8127788531
959	0.8127788371
960	0.8127787369
961	0.8127786444
962	0.8127786241
963	0.81277858
964	0.8127785536
965	0.8127785086
966	0.8127784271
967	0.8127783944
968	0.8127783706
969	0.8127783391
970	0.8127780436
971	0.8127780218
972	0.8127779216
973	0.8127778547
974	0.8127777893
975	0.8127775705
976	0.8127772173
977	0.8127771994
978	0.8127767037
979	0.8127765047
980	0.812776418
981	0.8127763466
982	0.8127761293
983	0.8127759655
984	0.8127759277
985	0.8127759015
986	0.8127757982
987	0.8127757654
988	0.8127757463
989	0.8127756606
990	0.8127754208
991	0.8127754046
992	0.8127751642
993	0.8127750681
994	0.8127746956
995	0.8127746593
996	0.8127745326
997	0.8127744718
998	0.8127743004
999	0.8127742872
